roll_no,full_name,department_code,course_codes,needs_accessible_seat,email,date_of_birth
ACF24001,Camila Kaur,ACF,ACF-201;ACF-202;ACF-203,no,camila.kaur1@example.com,2004-08-22
ACF24002,Gabriel Rao,ACF,ACF-201;ACF-202;ACF-204,no,gabriel.rao2@example.com,2003-02-05
ACF24003,Emma Hansen,ACF,ACF-201;ACF-202;ACF-204,no,emma.hansen3@example.com,2004-02-13
ACF24004,Kavya Mahmoud,ACF,ACF-201;ACF-202;ACF-203,no,kavya.mahmoud4@example.com,2004-02-23
ACF24005,David Haddad,ACF,ACF-201;ACF-202;ACF-203,no,david.haddad5@example.com,2004-06-19
ACF24006,Ishaan Marino,ACF,ACF-201;ACF-202;ACF-203,no,ishaan.marino6@example.com,2004-08-30
ACF24007,Emma Wang,ACF,ACF-201;ACF-202;ACF-204,no,emma.wang7@example.com,2005-03-17
ACF24008,Fatima Nwosu,ACF,ACF-201;ACF-202;ACF-204,no,fatima.nwosu8@example.com,2004-01-02
ACF24009,Farah Barros,ACF,ACF-201;ACF-202;ACF-204,no,farah.barros9@example.com,2003-06-06
ACF24010,David Osei,ACF,ACF-201;ACF-202;ACF-204,no,david.osei10@example.com,2003-12-22
ACF24011,Leila Kamau,ACF,ACF-201;ACF-202;ACF-203,no,leila.kamau11@example.com,2004-11-08
ACF24012,Jasmine Walsh,ACF,ACF-201;ACF-202;ACF-203,no,jasmine.walsh12@example.com,2004-01-15
ACF24013,Rosa Reyes,ACF,ACF-201;ACF-202;ACF-203,no,rosa.reyes13@example.com,2004-03-04
ACF24015,Tessa Garcia,ACF,ACF-201;ACF-202;ACF-204,no,tessa.garcia15@example.com,2004-09-25
ACF24016,Farah Eriksen,ACF,ACF-201;ACF-202;ACF-204,no,farah.eriksen16@example.com,2005-12-12
ACF24017,Tariq Castillo,ACF,ACF-201;ACF-202;ACF-203,no,tariq.castillo17@example.com,2005-01-14
ACF24018,Emma Banerjee,ACF,ACF-201;ACF-202;ACF-203,no,emma.banerjee18@example.com,2004-05-11
ACF24019,Abena Nair,ACF,ACF-201;ACF-202;ACF-204,no,abena.nair19@example.com,2004-07-27
ACF24020,Tariq Garcia,ACF,ACF-201;ACF-202;ACF-204,no,tariq.garcia20@example.com,2005-08-01
ACF24021,Mira Sen,ACF,ACF-201;ACF-202;ACF-203,no,mira.sen21@example.com,2005-10-08
ACF24022,Lucia Sen,ACF,ACF-201;ACF-202;ACF-203,no,lucia.sen22@example.com,2004-02-22
ACF24023,Rania Nwosu,ACF,ACF-201;ACF-202;ACF-204,no,rania.nwosu23@example.com,2005-12-11
